Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME
2018-10-22,275.01,277.36,274.41,277,82415812
2018-10-23,273.61,274.87,268.61,270.95,146352719
2018-10-24,265.32,273.76,264.7,273.33,177806697
2018-10-25,270.08,271.81,266.23,267.38,138061545
2018-10-26,265.33,271,262.29,265.92,201574596
2018-10-29,263.86,270.25,259.85,268.8,160749101
2018-10-30,267.77,268.12,263.12,263.67,157115995
2018-10-31,270.63,273.23,270.12,270.65,128296325
2018-11-01,273.51,273.73,270.38,271.6,99495037
2018-11-02,271.89,275.23,269.59,274.75,122634107
2018-11-05,273.39,274.01,271.35,272.44,65622482
2018-11-06,275.12,275.3,273.25,273.32,60085894
2018-11-07,281.01,281.1,277.08,277.56,102752099
2018-11-08,280.5,281.22,279.22,280.11,65584886
2018-11-09,277.76,279.24,276.18,279.03,98812561
2018-11-12,272.57,277.46,271.99,277.19,99673574
2018-11-13,272.06,275.325,271.25,273.09,98176610
2018-11-14,270.2,274.61,268.45,274.16,125335931
2018-11-15,273.02,273.54,267.0102,268.78,135101437
2018-11-16,273.73,274.75,271.21,271.79,126668040
2018-11-19,269.1,273.38,268.07,273.05,103061706
2018-11-20,264.12,267,263.15,265.36,136021311
2018-11-21,265.02,267.15,265.01,265.86,75563743
2018-11-22,265.02,267.15,265.01,265.86,75563743
2018-11-23,263.25,264.8234,263.07,263.18,42807878
2018-11-26,267.5,267.75,265.34,265.78,79981362
2018-11-27,268.4,268.4,265.66,266.34,75502441
2018-11-28,274.58,274.58,268.3272,269.6,127629633
2018-11-29,273.98,275.55,272.43,273.71,82346420
2018-11-30,275.65,276.28,273.45,273.81,98204190
2018-12-03,279.3,280.4,277.505,280.28,103017719
2018-12-04,270.25,278.85,269.9,278.37,177986013
2018-12-05,270.25,278.85,269.9,278.37,177986013
2018-12-06,269.84,269.97,262.44,265.92,204185411
2018-12-07,263.57,271.22,262.63,269.46,161018923
2018-12-10,264.07,265.1613,258.62,263.37,151445885
2018-12-11,264.13,267.87,262.48,267.66,121504431
2018-12-12,265.46,269,265.37,267.47,97976706
2018-12-13,265.37,267.49,264.12,266.52,96662717
2018-12-14,260.47,264.03,259.85,262.96,116961071
2018-12-17,255.36,260.65,253.525,259.4,165492257
2018-12-18,255.08,257.95,253.28,257.2,134515094
2018-12-19,251.26,259.4,249.35,255.17,214992763
2018-12-20,247.17,251.62,244.65,249.86,252053377
2018-12-21,240.7,249.71,239.98,246.74,255345633
2018-12-24,234.34,240.8355,234.27,239.04,147311588
2018-12-25,234.34,240.8355,234.27,239.04,147311588
2018-12-26,246.18,246.18,233.76,235.97,218485360
2018-12-27,248.07,248.29,238.96,242.57,186267342
