Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME
2018-04-17,15.325,16.9,14.6,16.8,96036
2018-04-18,17.26,15.55,15.1,15.45,3828
2018-04-19,16.575,17.15,16.25,16.25,93014
2018-04-20,17.025,17.3,16.3,16.55,122638
2018-04-23,16.825,17.3,16.45,16.87,78861
2018-04-24,17.675,18.51,16.2,16.85,172465
2018-04-25,17.725,18.62,17.42,17.75,126434
2018-04-26,16.875,17.9,16.77,17.5,93716
2018-04-27,16.425,17.35,16.35,16.9,97785
2018-04-30,16.625,16.76,16,16.35,104402
2018-05-01,16.275,17.15,16.15,16.75,97916
2018-05-02,16.625,16.7,15.7,16.25,88001
2018-05-03,16.525,18,16.25,16.6,137006
2018-05-04,15.875,17.2,15.85,16.55,106099
2018-05-07,15.725,16.01,15.55,15.85,63599
2018-05-08,15.775,16.2,15.65,15.7,73272
2018-05-09,14.825,15.95,14.7,15.8,87460
2018-05-10,14.175,14.97,13.9,14.83,85199
2018-05-11,13.675,14.32,13.65,14.2,61702
2018-05-14,13.375,13.7,13.05,13.65,64918
2018-05-15,14.875,15.1,13.33,13.45,95888
2018-05-16,13.79,15.05,14.5,14.9,1945
2018-05-17,14.375,14.86,14.27,14.65,86424
2018-05-18,14.525,14.8,14.22,14.35,67907
2018-05-21,14.075,14.25,13.7,14.25,88395
2018-05-22,14.225,14.3,13.88,14.15,65468
2018-05-23,13.875,14.95,13.85,14.2,95098
2018-05-24,13.825,14.72,13.8,13.95,98783
2018-05-25,14.125,14.3,13.7,13.85,91462
2018-05-28,14.125,14.3,13.7,13.85,91462
2018-05-29,15.925,16.7,13.8,14,225282
2018-05-30,15.175,16.22,14.85,16,122750
2018-05-31,15.425,15.8,14.9,15.2,92229
2018-06-01,14.425,15.37,14.3,15.36,110765
2018-06-04,13.925,14.5,13.85,14.45,75458
2018-06-05,13.625,14.12,13.6,13.85,69976
2018-06-06,13.075,13.65,12.95,13.6,92924
2018-06-07,13.175,13.95,12.9,13.05,94274
2018-06-08,13.325,14.2,13.1,13.15,80201
2018-06-11,12.875,13.6,12.75,13.4,71995
2018-06-12,12.775,13.2,12.65,12.95,76038
2018-06-13,13.225,13.25,12.55,12.75,75093
2018-06-14,12.675,13.45,12.4,13.15,96936
2018-06-15,12.575,13.4,12.53,12.65,88153
2018-06-18,12.675,13.61,12.57,12.65,77701
2018-06-19,13.575,14.45,12.65,12.7,94247
2018-06-20,12.27,13.88,12.4,13.5,3178
2018-06-21,14.875,15.2,13.65,13.9,124207
2018-06-22,14.425,15.05,14.2,15,90509
2018-06-25,16.325,17.5,14.4,14.4,255054
2018-06-26,15.875,16.61,15.55,16.4,149106
2018-06-27,16.925,17.4,15.3,15.95,173527
2018-06-28,16.525,17.85,16.33,16.92,135459
2018-06-29,16.025,16.58,15.5,16.5,101021
2018-07-02,16.025,17.22,15.88,16.05,93051
2018-07-03,16.375,16.51,15.52,15.95,64047
2018-07-04,16.375,16.51,15.52,15.95,64047
2018-07-05,15.475,16.42,15.4,16.3,85493
2018-07-06,14.575,15.9,14.5,15.65,96106
2018-07-09,13.775,14.6,13.6,14.6,95807
2018-07-10,13.425,13.95,13.4,13.85,97629
2018-07-11,14.175,14.7,13.7,13.8,103822
2018-07-12,13.325,14.16,13.25,14.15,85005
2018-07-13,12.975,13.65,12.97,13.41,70557
2018-07-16,12.975,13.25,12.7,13,80920
2018-07-17,12.125,13.22,12,13,88899
2018-07-18,12.38,12.15,11.53,12.15,3734
2018-07-19,14.175,14.4,13.86,13.95,77640
2018-07-20,14.275,14.77,14.05,14.2,76547
2018-07-23,14.075,14.65,14.05,14.25,56932
2018-07-24,14.075,14.5,13.7,14.05,89750
2018-07-25,13.825,14.31,13.66,14.05,80706
2018-07-26,13.85,14.15,13.71,14.1,57254
2018-07-27,14.325,14.81,13.65,13.85,111069
2018-07-30,14.875,15,14.15,14.37,87677
2018-07-31,14.075,14.9,14.02,14.85,85873
2018-08-01,14.275,14.45,13.85,14.15,81823
2018-08-02,13.925,15.15,13.85,14.2,99751
2018-08-03,13.525,14,13.5,13.85,70437
2018-08-06,13.025,13.7,13,13.6,59713
2018-08-07,12.725,13.15,12.65,13.1,69064
2018-08-08,12.575,12.95,12.4,12.65,68127
2018-08-09,12.675,12.78,12.35,12.6,50237
2018-08-10,13.775,14.12,12.7,12.7,149245
2018-08-13,14.875,14.95,13.3,13.8,133229
2018-08-14,13.725,14.9,13.7,14.9,108215
2018-08-15,14.875,16.6,13.77,13.78,183168
2018-08-16,13.725,14.95,13.45,14.9,111968
2018-08-17,13.075,14.2,13.03,13.8,77866
2018-08-20,12.775,13.15,12.5,13,75856
2018-08-21,12.875,13.1,12.35,12.9,73386
2018-08-22,12.61,13.45,12.75,13.1,2976
2018-08-23,14.225,14.43,13.95,14.15,84948
2018-08-24,14.125,14.25,13.85,14.25,70695
2018-08-27,14.125,14.15,13.84,14.1,45278
2018-08-28,14.075,14.3,13.95,14.15,60766
2018-08-29,13.925,14.26,13.9,14.15,61743
2018-08-30,14.525,14.7,13.92,13.95,103168
2018-08-31,14.025,14.95,13.95,14.65,97345
2018-09-03,14.025,14.95,13.95,14.65,97345
2018-09-04,14.225,14.86,13.85,14,116198
2018-09-05,14.575,15.05,14.25,14.3,92065
2018-09-06,15.175,15.45,14.4,14.65,117705
2018-09-07,15.375,15.65,14.97,15.2,114170
2018-09-10,14.775,15.45,14.65,15.4,79650
2018-09-11,14.225,15.15,14.18,14.8,88603
2018-09-12,14.025,14.45,14,14.2,81424
2018-09-13,13.375,14.21,13.3,14.06,80664
2018-09-14,12.875,13.51,12.85,13.45,90147
2018-09-17,13.575,13.75,12.85,13.15,83922
2018-09-18,12.725,14.05,12.7,13.6,85531
2018-09-19,11.94,12.9,12.45,12.7,3004
2018-09-20,14.025,14.4,13.93,14.28,75061
2018-09-21,14.125,14.3,13.85,14,72611
2018-09-24,14.025,14.55,14,14.35,68181
2018-09-25,14.075,14.3,13.85,14.01,52878
2018-09-26,14.425,14.53,13.87,14.1,64503
2018-09-27,14.125,14.5,14,14.45,49318
2018-09-28,13.975,14.5,13.95,14.1,58834
2018-10-01,13.925,14.15,13.55,13.95,70965
2018-10-02,13.975,14.3,13.75,13.93,58669
2018-10-03,13.775,14.06,13.67,14,69740
2018-10-04,14.875,15.7,13.95,14,222964
2018-10-05,15.225,16.65,14.35,14.75,226750
2018-10-08,15.675,17.05,15.05,15.2,175569
2018-10-09,15.975,16.55,15.51,15.7,142462
2018-10-10,20.125,20.42,15.75,16,293848
2018-10-11,21.175,24.2,18.9,20.3,344480
2018-10-12,19.925,23.02,18.95,21.3,193074
2018-10-15,20.125,21.3,19.12,20.25,111336
2018-10-16,17.675,20.4,17.55,20.25,80997
2018-10-17,17.23,18.9,17.3,17.63,2273
2018-10-18,18.425,19.25,17.13,17.15,218010
2018-10-19,18.425,19.05,17.9,18.4,155641
2018-10-22,18.625,19.36,18.05,18.75,128821
2018-10-23,18.825,20.83,18.6,18.65,228332
2018-10-24,20.625,21.35,18.75,18.9,219388
2018-10-25,20.925,21.35,19.96,20.5,179168
2018-10-26,21.075,22.65,20.86,21.1,271250
2018-10-29,21.525,22.85,20.4,21.15,161845
2018-10-30,20.925,22.15,20.6,21.7,179738
2018-10-31,20.275,20.95,19.7,20.75,121493
2018-11-01,19.275,20.56,19.22,20.3,127089
2018-11-02,19.575,20.45,18.68,19.75,134521
2018-11-05,19.425,20.01,19.15,19.55,61785
2018-11-06,18.625,19.82,18.55,19.46,78322
2018-11-07,16.825,19.01,16.75,18.65,108837
2018-11-08,16.975,17.3,16.4,16.8,86166
2018-11-09,17.475,18.13,16.88,17.01,101842
2018-11-12,19.575,19.7,16.93,17.5,125516
2018-11-13,19.425,20.4,18.8,19.55,127456
2018-11-14,20.175,20.92,18.93,19.4,122192
2018-11-15,19.375,21.26,19.35,20.1,127282
2018-11-16,18.275,20.47,18.15,19.5,87014
2018-11-19,19.925,20.1,18.05,18.4,87089
2018-11-20,22.175,23.06,19.85,19.95,105484
2018-11-21,22.07,22.5,21.3,22.1,1415
2018-11-22,22.07,22.5,21.3,22.1,1415
2018-11-23,20.475,20.61,19.85,20.1,59359
2018-11-26,18.925,20.5,18.85,20.45,91752
2018-11-27,18.775,19.5,18.6,19.25,94109
2018-11-28,18.225,18.9,17.95,18.65,106704
2018-11-29,18.375,19.25,18.15,18.15,94168
