Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN
2020-08-19,0.6801,0.6866,0.6444,0.6622
2020-08-20,0.6509,0.6769,0.6363,0.6736
2020-08-21,0.6282,0.6606,0.6218,0.646
2020-08-24,0.6542,0.6558,0.6201,0.6282
2020-08-25,0.6835,0.7145,0.6526,0.6526
2020-08-26,0.6884,0.7194,0.6835,0.6835
2020-08-27,0.7522,0.7538,0.6477,0.6818
2020-08-28,0.7211,0.7868,0.7113,0.7587
2020-08-31,0.7048,0.7474,0.6901,0.7211
2020-09-01,0.6689,0.7294,0.6673,0.7097
2020-09-02,0.6477,0.6917,0.6412,0.6738
2020-09-03,0.6347,0.6673,0.6023,0.6445
2020-09-04,0.718,0.723,0.6266,0.6282
2020-09-07,0.718,0.718,0.718,0.718
2020-09-08,0.6788,0.718,0.6624,0.718
2020-09-09,0.7001,0.7082,0.6576,0.6657
2020-09-10,0.6772,0.7214,0.6755,0.6968
2020-09-11,0.6658,0.6936,0.6625,0.6772
2020-09-14,0.6723,0.6789,0.6494,0.6674
2020-09-15,0.6789,0.6871,0.6641,0.6723
2020-09-16,0.6969,0.7002,0.6543,0.6707
2020-09-17,0.6887,0.6904,0.6446,0.6887
2020-09-18,0.6937,0.697,0.6658,0.6854
2020-09-21,0.6658,0.6904,0.6462,0.6822
2020-09-22,0.6708,0.679,0.6577,0.6609
2020-09-23,0.6724,0.6905,0.6544,0.6708
2020-09-24,0.6659,0.679,0.6593,0.6724
2020-09-25,0.6544,0.6757,0.6495,0.6675
2020-09-28,0.6528,0.6725,0.6528,0.6544
2020-09-29,0.6495,0.661,0.6397,0.6561
2020-09-30,0.684,0.7021,0.6397,0.6512
2020-10-01,0.6774,0.7186,0.6676,0.6857
2020-10-02,0.7005,0.7038,0.6512,0.6807
2020-10-05,0.7817,0.7817,0.6973,0.7071
2020-10-06,0.7353,0.7901,0.7254,0.7751
2020-10-07,0.7868,0.7951,0.737,0.737
2020-10-08,0.7852,0.7852,0.7602,0.7785
2020-10-09,0.7737,0.797,0.7587,0.7735
2020-10-12,0.7737,0.7737,0.7737,0.7737
2020-10-13,0.7272,0.7654,0.7239,0.7587
2020-10-14,0.7256,0.7338,0.7074,0.7289
2020-10-15,0.7322,0.7389,0.6892,0.7223
2020-10-16,0.7456,0.7556,0.7191,0.7322
2020-10-19,0.769,0.7806,0.7523,0.7573
2020-10-20,0.7857,0.7991,0.7623,0.7673
2020-10-21,0.8226,0.8343,0.7957,0.7957
2020-10-22,0.8562,0.868,0.8025,0.8125
2020-10-23,0.8429,0.8699,0.8295,0.8562
2020-10-26,0.801,0.8295,0.7893,0.8245
2020-10-27,0.7676,0.8061,0.7659,0.7943
2020-10-28,0.771,0.781,0.7443,0.7626
2020-10-29,0.823,0.8398,0.7677,0.7793
2020-10-30,0.8737,0.8754,0.803,0.828
2020-11-02,0.8434,0.8721,0.8266,0.8535
2020-11-03,0.8993,0.8993,0.8519,0.8519
2020-11-04,0.7629,0.9435,0.7545,0.9265
2020-11-05,0.7629,0.7881,0.7162,0.7529
2020-11-06,0.8185,0.8353,0.7563,0.7613
2020-11-09,0.9235,0.973,0.7966,0.8269
2020-11-10,0.9595,0.9715,0.9065,0.9235
2020-11-11,0.9753,0.9753,0.9753,0.9753
2020-11-12,0.8815,0.9621,0.8766,0.9489
2020-11-13,0.8963,0.8996,0.8619,0.8832
2020-11-16,0.9061,0.9291,0.8717,0.8963
2020-11-17,0.857,0.9144,0.857,0.9029
2020-11-18,0.8701,0.8914,0.8342,0.8603
2020-11-19,0.8293,0.8652,0.8293,0.8586
2020-11-20,0.8243,0.8488,0.8162,0.8179
2020-11-23,0.8537,0.8603,0.8243,0.8259
2020-11-24,0.8799,0.8865,0.8521,0.8701
2020-11-25,0.8816,0.898,0.8537,0.8832
2020-11-26,0.8816,0.8816,0.8816,0.8816
2020-11-27,0.8373,0.8668,0.8357,0.8537
2020-11-30,0.8389,0.8586,0.8291,0.8422
2020-12-01,0.926,0.936,0.8324,0.8438
2020-12-02,0.936,0.9641,0.9095,0.9227
2020-12-03,0.9063,0.9443,0.8997,0.9343
2020-12-04,0.9659,0.9842,0.898,0.9063
2020-12-07,0.9228,0.9742,0.9228,0.9742
2020-12-08,0.9179,0.9394,0.8915,0.9261
2020-12-09,0.9361,0.9576,0.9228,0.9278
